code,name,parent,area,density,age_med,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34031,Passaic,34,186.0131896,2702.8352184,37.3,0,0,0,0,0,0,0,0,488793,496204,498009,500168,502854,505403,507574,507204,510563,504041,503637,502763
34033,Salem,34,331.8619663,189.0966919,42.5,0,0,0,0,0,0,0,0,65982,65982,65984,66007,65825,65501,65120,64504,63776,63336,62990,62754
34035,Somerset,34,301.8657176,1093.7015392,41.8,0,0,0,0,0,0,0,0,320712,319347,321304,323650,326207,328704,330604,331686,333316,330176,329838,330151
34037,Sussex,34,518.6625165,271.8453629,44.9,0,0,0,0,0,0,0,0,151239,149996,149589,148962,147924,146888,145930,144694,143570,142298,141483,140996
34039,Union,34,102.7662528,5402.629609,38.9,0,0,0,0,0,0,0,0,522050,529547,532378,536383,540568,545236,548744,550436,557320,553066,554033,555208
34041,Warren,34,356.5403422,296.5442826,44.5,0,0,0,0,0,0,0,0,109567,108982,108829,108488,108150,107624,107226,107095,107088,106293,105862,105730
36001,Albany,36,522.8875096,585.5274689,37.9,0,0,0,0,0,0,0,0,298341,304032,303957,304511,305279,306124,307463,307891,308580,307426,306968,306165
36003,Allegany,36,1029.4345098,44.9800347,39.3,0,0,0,0,0,0,0,0,49391,49105,48991,48837,48618,48387,48070,47700,47400,47025,46688,46304
36005,Bronx,36,42.1752462,33836.3406819,34.5,0,0,0,0,0,0,0,0,1381529,1365725,1374593,1386364,1397315,1413566,1428357,1436785,1455846,1437872,1435068,1427056
36007,Broome,36,705.6377897,272.1537916,39.7,0,0,0,0,0,0,0,0,195209,200804,200448,199928,199298,198797,198093,197381,196124,194402,193188,192042
36009,Cattaraugus,36,1308.1617597,58.6701143,42.5,0,0,0,0,0,0,0,0,80349,80776,80478,80166,79735,79397,78962,78506,78175,77686,77121,76750
36011,Cayuga,36,691.5864498,111.2774839,43.2,0,0,0,0,0,0,0,0,79994,80431,80204,79996,79767,79481,79173,78783,78319,77868,77425,76958
36013,Chautauqua,36,1060.411102,120.3156019,42.8,0,0,0,0,0,0,0,0,134078,135263,135018,134599,134156,133556,132646,131748,130846,129656,128496,127584
36015,Chemung,36,407.3330167,206.5017972,41.3,0,0,0,0,0,0,0,0,88161,88708,88731,88779,88876,88681,88267,87742,86883,85740,84895,84115
36017,Chenango,36,893.5918289,53.1864756,44.8,0,0,0,0,0,0,0,0,50956,51045,50788,50490,50121,49868,49549,49286,48763,48348,47909,47527
36019,Clinton,36,1037.7503488,77.3981913,40.3,0,0,0,0,0,0,0,0,81755,82380,82265,82054,81865,81829,81685,81505,81224,80794,80583,80320
36021,Columbia,36,634.6629589,94.5635777,48.5,0,0,0,0,0,0,0,0,62217,63241,63055,62881,62674,62525,62195,61860,61481,60919,60371,60016
36023,Cortland,36,498.7733362,95.4702197,36.4,0,0,0,0,0,0,0,0,48207,49452,49441,49453,49271,49231,49043,48713,48334,48123,47865,47618
36025,Delaware,36,1442.5950127,30.9691907,48.3,0,0,0,0,0,0,0,0,46194,48220,48079,47851,47491,47223,46901,46480,45950,45502,44995,44676
36027,Dutchess,36,795.6009915,368.933678,42.5,0,0,0,0,0,0,0,0,292187,296152,296842,297291,297385,297388,296928,295905,295685,293894,293754,293524
36029,Erie,36,1042.7300908,881.2184553,40.2,0,0,0,0,0,0,0,0,914200,921202,919714,919542,919230,920694,921584,922129,923995,919866,919355,918873
